gene	count	unique_CDR3	unique_D	unique_J
IGHV1-10*01_S1523	68	24	7	1
IGHV1-14*01	23556	10224	13	1
IGHV1-17*01_S0184	1960	1282	13	1
IGHV1-17*01_S8202	2274	1309	13	1
IGHV1-20*01_S4503	41087	19386	14	1
IGHV1-21*01_S7468	17086	8809	13	1
IGHV1-27*01_S4831	439	290	12	1
IGHV1-30*02_S0620	9430	5273	13	1
IGHV1-30*02_S5756	18064	9665	14	1
IGHV1-30*02_S0511	24981	11717	14	1
IGHV1-37*01_S8120	32	25	9	1
IGHV1-37*01_S9108	178	67	8	1
IGHV1-39*01_S4572	581	283	12	1
IGHV1-39*01_S0985	176	80	11	1
IGHV1-39*01_S6522	294	171	11	1
IGHV1-7*02_S0124	18217	11018	13	1
