## File: reads/sequences.fasta.gz
length	frequency
300	51
301	143
302	44
303	18
304	17
305	25
306	49
307	71
308	31
309	12
310	58
311	125
312	101
313	30
314	32
315	37
316	413
317	22
318	39
319	98
320	44
321	436
322	45
323	39
324	41
325	573
326	32
327	29
328	32
329	18
330	247
331	352
332	70
333	158
334	51
335	114
336	14
337	52
338	70
339	22
340	46
341	52
342	8
343	20
344	8
345	19
346	57
347	14
348	16
349	65
350	11
351	146
352	20
353	22
354	50
355	14
356	131
357	59
358	23
359	178
360	34
361	37
362	60
363	1448
364	43
365	42
366	44
367	36
368	19
369	37
370	36
371	64
372	169
373	36
374	32
375	460
376	36
377	42
378	81
379	38
380	52
381	168
382	220
383	181
384	127
385	34
386	56
387	88
388	135
389	30
390	176
391	45
392	97
393	91
394	41
395	78
396	88
397	43
398	34
399	137
400	66
401	32
402	69
403	119
404	38
405	87
406	109
407	32
408	135
409	92
410	61
411	38
412	47
413	213
414	44
415	59
416	84
417	87
418	44
419	31
420	70
421	92
422	357
423	440
424	126
425	198
426	3960
427	187
428	356
429	8662
430	194
431	374
432	6504
433	164
434	238
435	4688
436	91
437	88
438	1152
439	59
440	99
441	2415
442	83
443	228
444	4109
445	92
446	207
447	3852
448	215
449	228
450	4192
451	173
452	331
453	5317
454	191
455	526
456	11150
457	264
458	504
459	12167
460	325
461	634
462	13346
463	330
464	817
465	16973
466	412
467	837
468	17447
469	406
470	654
471	14159
472	346
473	676
474	14943
475	359
476	708
477	14641
478	343
479	639
480	12996
481	257
482	608
483	11423
484	189
485	327
486	6090
487	168
488	284
489	4327
490	182
491	212
492	3435
493	76
494	84
495	1218
496	48
497	58
498	449
499	39
500	110
501	280
502	37
503	26
504	128
505	15
506	25
507	87
508	24
509	27
510	46
511	36
512	34
513	106
514	40
515	19
516	40
517	52
518	40
519	87
520	35
521	37
522	74
523	39
524	43
525	81
526	62
527	38
528	77
529	41
530	65
531	98
532	52
533	50
534	102
535	66
536	58
537	137
538	61
539	67
540	174
541	76
542	65
543	147
544	99
545	96
546	190
547	79
548	78
549	208
550	87
551	65
552	232
553	74
554	64
555	198
556	79
557	58
558	196
559	69
560	56
561	182
562	55
563	58
564	119
565	51
566	127
567	143
568	37
569	42
570	94
571	36
572	32
573	267
574	17
575	28
576	71
577	24
578	13
579	98
580	10
581	12
582	108
583	8
584	8
585	97
586	7
587	17
588	30
590	1
591	1
594	1
600	1
