gene	count	unique_CDR3	unique_D	unique_J
IGHV1-2	1911	1602	30	6
IGHV1-46	1070	856	30	6
IGHV1-69	71	64	18	2
IGHV1-69D	293	251	26	3
IGHV1OR15-1	1	1	1	1
IGHV3-11	7	7	6	2
IGHV3-13	8	8	6	2
IGHV3-15	90	64	17	3
IGHV3-20	12	12	7	2
IGHV3-21	67	55	17	2
IGHV3-23	18	16	10	2
IGHV3-30	699	541	27	6
IGHV3-33	77	62	18	2
IGHV3-48	60	56	19	2
IGHV3-49	21	20	13	2
IGHV3-53	33	32	16	2
IGHV3-66	1	1	1	1
IGHV3-7	73	55	18	3
IGHV3-73	17	13	9	2
IGHV3-74	34	28	14	2
IGHV4-28	93	81	20	2
IGHV4-31	1	1	1	1
IGHV4-39	298	251	27	3
IGHV4-4	29	26	12	2
IGHV4-59	1525	1342	30	6
IGHV4-61	93	84	23	2
IGHV5-51	1043	812	28	6
IGHV6-1	161	91	24	2
IGHV7-4-1	5	3	2	2
