## File: reads/sequences.fasta.gz
length	frequency
402	1
425	1
426	3
428	1
429	2
432	6
433	1
434	1
435	3
436	1
437	1
438	2
439	1
440	1
441	6
442	4
443	4
444	11
445	5
446	7
447	8
448	6
449	22
450	11
451	11
452	59
453	10
454	22
455	103
456	28
457	50
458	143
459	18
460	68
461	238
462	43
463	122
464	280
465	42
466	130
467	436
468	51
469	157
470	415
471	43
472	204
473	458
474	74
475	180
476	451
477	94
478	125
479	360
480	111
481	95
482	396
483	153
484	85
485	327
486	104
487	88
488	306
489	110
490	74
491	224
492	97
493	61
494	177
495	73
496	21
497	120
498	67
499	26
500	119
501	74
502	23
503	64
504	63
505	10
506	20
507	39
508	9
509	23
510	20
511	12
512	17
513	18
514	1
515	17
516	17
517	2
518	3
519	4
520	3
521	2
522	3
525	2
527	1
530	2
540	1
545	1
568	1
574	1
